San Antonio-Oklahoma City,750558
Orlando-Chicago,1858417
Toronto-Charlotte,1222139
Boston-Indiana,1432512
Detroit-Philadelphia,938692
Denver-Brooklyn,2872745
Dallas-Minnesota,1768428
Utah-Dallas,2000831
Chicago-Memphis,858735
Houston-San Antonio,316156
Denver-Toronto,2430583
Atlanta-Oklahoma City,1376915
New Orleans-Portland,4060890
Oklahoma City-Chicago,1278387
Orlando-Memphis,1333476
Toronto-Minnesota,1757546
Charlotte-Houston,1671702
Chicago-New Orleans,1490933
Brooklyn-Atlanta,1406241
Milwaukee-New Orleans,1633406
Houston-Atlanta,1276099
Charlotte-Los Angeles,3907953
New Jersey-Toronto,872296
Philadelphia-New Jersey,100087
New Jersey-Milwaukee,1465105
New York-New Jersey,114370
Miami-New Jersey,2017583
Boston-New Jersey,457488
New Jersey-Philadelphia,99082
Cleveland-New Jersey,778763
Washington-New Jersey,312721
New Jersey-Portland,4689930
New Jersey-Los Angeles,4444219
New Jersey-Sacramento,4563523
New Jersey-Golden State,4644460
Indiana-New Jersey,1151536
Utah-New Jersey,3534234
Charlotte-New Jersey,958518
New Jersey-Atlanta,1348737
New Orleans-New Jersey,2055893
New Jersey-Orlando,1686834
Toronto-New Jersey,841887
Milwaukee-New Jersey,1467121
Houston-New Jersey,2577539
New Jersey-Charlotte,965556
Los Angeles-New Jersey,4444076
New Jersey-Miami,2025090
New Jersey-Boston,452179
New Jersey-Dallas,2449458
Orlando-New Jersey,1676371
New Jersey-New York,113713
New Jersey-Chicago,1304540
New Jersey-Indiana,1145400
Memphis-New Jersey,1721982
San Antonio-New Jersey,2891402
New Jersey-Detroit,1022879
Detroit-New Jersey,1022573
Chicago-New Jersey,1306089
Minnesota-New Jersey,2229175
New Jersey-Cleveland,778794
Oklahoma City-New Jersey,2309688
Golden State-New Jersey,4645473
New Jersey-Utah,3527741
New Jersey-Phoenix,3850560
New Jersey-Denver,2860429
Atlanta-New Jersey,1342119
New Jersey-Washington,310962
Phoenix-New Jersey,3850879
New Jersey-Houston,2577818
New Jersey-San Antonio,2890954
Denver-New Jersey,2865598
Dallas-New Jersey,2448048
New Jersey-Minnesota,2226483
New Jersey-Oklahoma City,2307640
New Jersey-New Orleans,2057161
New Jersey-Memphis,1722396
Portland-New Jersey,4696472
Sacramento-New Jersey,4575181
Seattle-Golden State,1521868
Dallas-Seattle,3365364
Seattle-San Antonio,3447908
Seattle-Houston,3726166
Seattle-Dallas,3350255
Denver-Seattle,2119914
Houston-Seattle,3742417
Los Angeles-Seattle,1826811
Sacramento-Seattle,1210591
Charlotte-Seattle,4543615
Washington-Seattle,4457991
Portland-Seattle,279667
Seattle-Utah,1335402
Seattle-Los Angeles,1828639
Phoenix-Seattle,2296600
Seattle-Denver,2100177
Minnesota-Seattle,2471056
Seattle-Boston,4880308
Seattle-Indiana,3581808
Seattle-Toronto,4134962
Seattle-Philadelphia,4520481
Seattle-Milwaukee,3171320
Seattle-Detroit,3752950
Seattle-Minnesota,2471971
Miami-Seattle,5315971
Seattle-Portland,280176
Memphis-Seattle,3679710
Utah-Seattle,1351036
Seattle-Phoenix,2278043
Seattle-Sacramento,1212228
Chicago-Seattle,3330379
New York-Seattle,4603961
Cleveland-Seattle,3886613
San Antonio-Seattle,3462301
Atlanta-Seattle,4243489
Seattle-Memphis,3679613
Seattle-New Orleans,4161987
Seattle-New Jersey,4604362
Seattle-Cleveland,3854778
Seattle-Washington,4420083
Philadelphia-Seattle,4554943
Boston-Seattle,4913738
Toronto-Seattle,4167776
New Orleans-Seattle,4179662
Seattle-New York,4570183
Seattle-Chicago,3285953
Milwaukee-Seattle,3205796
Golden State-Seattle,1521103
Indiana-Seattle,3618427
Orlando-Seattle,4947472
New Jersey-Seattle,4636713
Seattle-Charlotte,4508639
Seattle-Atlanta,4240493
Seattle-Miami,5309144
Seattle-Orlando,4945679
Detroit-Seattle,3785762
Seattle-Oklahoma City,3176013
Oklahoma City-Seattle,3192668
Vancouver-Golden State,1750656
Vancouver-Sacramento,1441016
Houston-Vancouver,3961092
Portland-Vancouver,508442
Minnesota-Vancouver,2689732
Vancouver-Denver,2318838
Sacramento-Vancouver,1439366
Los Angeles-Vancouver,2055586
Utah-Vancouver,1569711
New York-Vancouver,4822637
Vancouver-Toronto,4353623
Vancouver-Indiana,3800468
Vancouver-Cleveland,4073439
Vancouver-New Jersey,4823023
Vancouver-Miami,5527804
Vancouver-Orlando,5164340
Vancouver-Charlotte,4727299
Vancouver-Atlanta,4459153
Toronto-Vancouver,4386451
Vancouver-Portland,508963
San Antonio-Vancouver,3680976
Vancouver-Utah,1554063
Dallas-Vancouver,3584039
Vancouver-Chicago,3504613
Vancouver-Milwaukee,3389980
Vancouver-Philadelphia,4739142
Vancouver-Washington,4638744
Vancouver-Minnesota,2690632
Golden State-Vancouver,1749878
Boston-Vancouver,5132413
Vancouver-Seattle,230134
Chicago-Vancouver,3549054
Vancouver-Phoenix,2496703
New Jersey-Vancouver,4855388
Vancouver-Houston,3944827
